idx,name,pe_or_pb,percentile_qm,max_qm,min_qm,row_qm,dt
CSPSADRP.CI,标普红利,8.50,7.22,25.57,7.96,14.87,2019-01-10
000016.SH,上证50,8.58,19.81,14.95,6.94,12.62,2019-01-10
000922.SH,中证红利,9.61,13.40,21.73,7.66,13.37,2019-01-10
000989.SH,可选消费,15.67,1.84,44.66,14.91,11.03,2019-01-10
399330.SZ,深证100,15.77,3.22,36.68,14.72,14.15,2019-01-10
000905.SH,中证500,16.65,0.72,83.24,16.00,9.53,2019-01-10
399005.SZ,中小板指,19.43,0.75,64.61,18.53,13.90,2019-01-10
000827.SH,中证环保,19.50,2.60,71.13,19.19,8.42,2019-01-10
000903.SH,中证100,9.69,32.26,15.50,6.85,12.49,2019-01-10
399986.CSI,中证银行,6.11,42.52,9.05,4.46,13.16,2019-01-10
000300.SH,沪深300,10.37,25.18,19.00,8.01,12.25,2019-01-10
000991.SH,全指医药,24.36,0.33,74.42,23.60,11.64,2019-01-10
399006.SZ,创业板指,28.53,1.23,137.86,27.04,12.44,2019-01-10
000993.SH,全指信息,30.49,2.02,133.83,28.21,8.83,2019-01-10
HSI.HI,恒生指数,9.87,53.99,14.46,7.34,11.39,2019-01-10
399001.SZ,深证成指,16.59,31.95,56.79,12.80,12.32,2019-01-10
399932.SZ,中证消费,23.30,29.70,45.31,17.15,18.39,2019-01-10
399975.CSI,证券公司,1.29,9.77,5.04,1.03,5.25,2019-01-10
399967.SZ,中证军工,47.80,1.25,249.38,44.79,4.57,2019-01-10
HSCEI.HI,恒生国企,8.87,73.38,13.81,5.55,11.54,2019-01-10
SPX.GI,标普500,19.59,50.83,27.65,12.49,15.43,2019-01-10
NDX.GI,纳斯达克100,23.57,66.42,33.90,14.53,22.27,2019-01-10
950090.SH,50AH优选,8.46,,12.79,7.47,12.28,2019-01-10
930782.CSI,500低波动,17.66,,35.26,17.04,7.50,2019-01-10
399812.SZ,养老产业,20.51,,52.47,20.01,12.76,2019-01-10
399971.SZ,中证传媒,21.05,,121.61,20.22,11.38,2019-01-10
000852.SH,中证1000,22.10,,144.82,18.94,8.37,2019-01-10
